topology,query,pattern,true_cardinality,time_s,status,error
Tree_9,9,Tree_9/9,141400860,0.891411,ok,
Tree_9,10,Tree_9/10,56871865,0.477885,ok,
Tree_9,11,Tree_9/11,187599096,0.956908,ok,
Tree_9,12,Tree_9/12,223307416,1.134273,ok,
Tree_9,13,Tree_9/13,141400860,0.888869,ok,
Tree_9,14,Tree_9/14,5716890,0.206562,ok,
Tree_9,15,Tree_9/15,66878,0.095383,ok,
Tree_9,16,Tree_9/16,158608454,0.920525,ok,
Tree_9,17,Tree_9/17,5529944,0.189934,ok,
Tree_9,18,Tree_9/18,441613344,1.826109,ok,
Tree_9,19,Tree_9/19,144773980,0.842752,ok,
Tree_9,20,Tree_9/20,141400860,0.868011,ok,
Tree_9,21,Tree_9/21,3628918,0.212345,ok,
Tree_9,22,Tree_9/22,198049622,1.025503,ok,
Tree_9,23,Tree_9/23,80635,0.347802,ok,
Tree_9,24,Tree_9/24,670079182,2.167633,ok,
Tree_9,25,Tree_9/25,174689757,0.889402,ok,
Tree_9,26,Tree_9/26,15344,0.354561,ok,
Tree_9,27,Tree_9/27,775327,0.134236,ok,
Tree_9,28,Tree_9/28,247933669,1.367470,ok,
Tree_9,29,Tree_9/29,156061,0.126193,ok,
Tree_9,30,Tree_9/30,339658,0.139062,ok,
Tree_9,31,Tree_9/31,196809876,1.031719,ok,
Tree_9,32,Tree_9/32,231682416,0.796280,ok,
Tree_9,33,Tree_9/33,253925902,1.258584,ok,
Tree_9,34,Tree_9/34,899903,0.136378,ok,
Tree_9,35,Tree_9/35,187599096,0.820613,ok,
Tree_9,36,Tree_9/36,147150,0.152999,ok,
Tree_9,37,Tree_9/37,10194650,0.245032,ok,
